Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Source URL,Dependent Source URL,Enabling Source Agency,Dependent Source Agency,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,USDA 2022 1.2: Lead Efforts to Adapt to the Consequences of Climate Change in Agriculture and Forestry,"All farmers, ranchers, and forest landowners are on the front lines of climate change, facing changes in temperature and precipitation patterns and more frequent and intense events such as floods, drought, hurricanes, and wildfires. More than ever, their planning efforts and decision-making need to account for the impacts of climate change. Climate adaptation on the part of USDA will ensure that climate change thinking is integrated throughout USDA’s mission, programs, operations, and management. USDA will continue to be a leader in the delivery of climate-smart science, research, and conservation practices, including through the USDA Climate Hubs.",Acreage of Restored Wetlands (Million Acres),"FSA will continue outreach for enrollment in FY 2024; however, due to Farm Bill changes and current farm economy it is difficult to forecast enrollment and progress for FY 2024. Increasing crop prices reduces producer interest in CRP enrollment. FSA expectation is lowered due to unknown farm Bill changes.",USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,USDA 2022 1.2: Lead Efforts to Adapt to the Consequences of Climate Change in Agriculture and Forestry,"All farmers, ranchers, and forest landowners are on the front lines of climate change, facing changes in temperature and precipitation patterns and more frequent and intense events such as floods, drought, hurricanes, and wildfires. More than ever, their planning efforts and decision-making need to account for the impacts of climate change. Climate adaptation on the part of USDA will ensure that climate change thinking is integrated throughout USDA’s mission, programs, operations, and management. USDA will continue to be a leader in the delivery of climate-smart science, research, and conservation practices, including through the USDA Climate Hubs.",Number of Watersheds Moved to Improved Condition Class or Sustained in Condition Class 1,Increased funding in FY 2022 and FY 2023 from BIL and other sources has been used to increase staff capacity for project planning purposes and those investments will come to fruition as more watershed restoration projects are completed in FY 2024. If anticipated funding increases in FY 2023 and FY 2024 do not materialize progress will be reduced and slowdowns in contracting staff will inhibit projects being accomplished.,USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.1: Foster a Culture of Civil Rights, Diversity, Equity, Inclusion, Accessibility, Transparency, and Accountability","USDA is committed to the values of equity and inclusion, rooted in justice and equal opportunity for our employees and those we serve. Under the leadership of the Biden-Harris Administration, the Department is taking bold, historic action to root out generations of systemic racism, deeply integrate equity into decision making and policymaking, and build equitable systems and programming for all Americans. USDA is standing up an independent Equity Commission to examine USDA programs and services and make recommendations as to how the Department can advance equity by reducing barriers to access for historically undeserved communities. The Department also launched its inaugural Racial Justice and Equity Internal Working Group to review internal systems and processes and identify inequities, challenges, and opportunities for improvement.",PMA LA Priority 1.3: Workforce,"What approaches build a strong, empowered, and diverse cohort across the Federal Government employee lifecycle?",2022 PMA Learning Agenda,,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.performance.gov/pma/learning-agenda/,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 1.3: Restore, Protect, and Conserve Watersheds to Ensure Clean, Abundant, and Continuous Provision of Water Resources","The Nation’s forests and grasslands that provide clean and available water are a fundamental part of the American landscape and legacy that the Forest Service holds in trust for future and present generations. These lands, along with the millions of acres of well-managed, privately held forests and grasslands, provide clean air and water, forest and rangeland products, mineral and energy resources, jobs, and quality habitat for fish and wildlife. Productive agricultural landscapes, including clean and available water, healthy wetlands, streams and rivers, and abundant fish and wildlife, underlie robust tourism and recreational activities.","USDA Cross-Cutting Theme: Addressing Climate Change via Climate-Smart Agriculture, Forestry, and Renewable Energy","USDA can position the agriculture and forestry sectors and rural and Tribal communities to be climate leaders. Acting on this will require investments in the research and development of climate-smart solutions that improve soil and forest health, make production more profitable, resilient, and adaptable while creating new income opportunities and generational wealth and contributing to National greenhouse gas emission reduction goals. This plan outlines our strategies to integrate climate change risks and opportunities into programs and services as we support farmers, ranchers, forest landowners, partners, and rural and Tribal communities in tackling this challenge.",USDA Cross-Cutting Themes 2022-2026,USDA Strat Plan 2022-2026,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.1: Foster a Culture of Civil Rights, Diversity, Equity, Inclusion, Accessibility, Transparency, and Accountability","USDA is committed to the values of equity and inclusion, rooted in justice and equal opportunity for our employees and those we serve. Under the leadership of the Biden-Harris Administration, the Department is taking bold, historic action to root out generations of systemic racism, deeply integrate equity into decision making and policymaking, and build equitable systems and programming for all Americans. USDA is standing up an independent Equity Commission to examine USDA programs and services and make recommendations as to how the Department can advance equity by reducing barriers to access for historically undeserved communities. The Department also launched its inaugural Racial Justice and Equity Internal Working Group to review internal systems and processes and identify inequities, challenges, and opportunities for improvement.","PMA 2: Delivering Excellent, Equitable, and Secure Federal Services and Customer Experience","Challenge: Federal services have not always been designed with the public’s needs and priorities in mind, nor have these services always kept up with these needs. Poorly designed, out of date, and inequitable Government services are a cost to our Nation; it can mean that Veterans don’t get benefits they have earned, small business owners can’t access financing to grow their businesses, new mothers and infants lack critical nutrition supports, and disaster survivors face mountains of paperwork to rebuild their homes.
Opportunity: The Federal Government must deliver a simple, seamless, and secure customer experience, on par with or more effective than leading consumer experiences. Irrespective of people’s age, location, digital savvy, disability, education, or English proficiency, the American people deserve a Government that understands who they are, what they need, and how best to deliver for them. Every interaction between the Government and the public is an opportunity to deliver the services people expect and deserve. Whether during a pivotal life experience such as retiring, or a routine interaction to renew a passport, the Government must build our understanding of our customers and involve them – the people we serve – to improve benefits, services, and programs and enable us to deliver for all Americans.
We can get there by using technology to power outstanding experiences; engaging with private-sector and nonprofit organizations; partnering with State, local, Tribal, and territorial governments; collaborating with other partners to reduce administrative burden of interaction with the Federal Government, simplifying both public-facing and internal processes to improve efficiency, and empowering the Federal workforce so that they can best deliver for the American people. Understanding our customers’ needs through gathering feedback, conducting research, sharing insights, and testing new approaches will ensure we are designing with our customers in mind every step of the way and enable us to deliver for all.",2022 President's Management Agenda,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf ,https://assets.performance.gov/PMA/Biden-Harris_Management_Agenda_Vision_11-18.pdf,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.1: Foster a Culture of Civil Rights, Diversity, Equity, Inclusion, Accessibility, Transparency, and Accountability","USDA is committed to the values of equity and inclusion, rooted in justice and equal opportunity for our employees and those we serve. Under the leadership of the Biden-Harris Administration, the Department is taking bold, historic action to root out generations of systemic racism, deeply integrate equity into decision making and policymaking, and build equitable systems and programming for all Americans. USDA is standing up an independent Equity Commission to examine USDA programs and services and make recommendations as to how the Department can advance equity by reducing barriers to access for historically undeserved communities. The Department also launched its inaugural Racial Justice and Equity Internal Working Group to review internal systems and processes and identify inequities, challenges, and opportunities for improvement.",PMA 1: Strengthening and Empowering the Federal Workforce,"Challenge: More than 4 million Americans—including more than 2.1 million Federal civilian employees—work for our Federal Government, both at home and overseas. To be a Government for all Americans, we need to focus on those who keep our Government running and deliver services each day. Given the changing nature of work, new technology, and the evolving skills needed to meet the challenges of today and tomorrow, we must invest in our public servants who are the backbone of our Government.
Opportunity: Federal agencies must attract, hire, develop, and empower talented individuals who are well suited and well prepared to face the challenges the Government faces, both in the near and long term. Agencies must also use what they have learned about the resilience and adaptability of the Federal workforce to make the Federal Government an ideal, modern, and forward-thinking employer. As Federal agencies continue to chart a path forward together on the future of Federal work, they will engage with public servants as well as stakeholders within and outside of Government to make every Federal job a good job and give our workforce what they need to succeed.",2022 President's Management Agenda,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf ,https://assets.performance.gov/PMA/Biden-Harris_Management_Agenda_Vision_11-18.pdf,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 1.4: Increase Carbon Sequestration, Reduce Greenhouse Gas Emissions, and Create Economic Opportunities (and Develop Low-Carbon Energy Solutions)","The Biden-Harris Administration has called for a whole-of-government approach to achieving net-zero greenhouse gas emissions by 2050, and USDA has a critical role to play to avoid the worst impacts of climate change. The Department will leverage its partnerships with agriculture, forestry, rural communities, Tribes, cooperatives, and businesses to reduce greenhouse gas emissions in agriculture, sequester forest carbon, decarbonize rural electricity, and invest in renewable fuels production and renewable electricity generation. Based on the best available science and strategies, increasing carbon sequestration and reducing greenhouse gas emissions will contribute to a lower Nation al emissions footprint. USDA will continue to analyze the economic costs and benefits of these conservation practices during implementation.","USDA Cross-Cutting Theme: Addressing Climate Change via Climate-Smart Agriculture, Forestry, and Renewable Energy","USDA can position the agriculture and forestry sectors and rural and Tribal communities to be climate leaders. Acting on this will require investments in the research and development of climate-smart solutions that improve soil and forest health, make production more profitable, resilient, and adaptable while creating new income opportunities and generational wealth and contributing to National greenhouse gas emission reduction goals. This plan outlines our strategies to integrate climate change risks and opportunities into programs and services as we support farmers, ranchers, forest landowners, partners, and rural and Tribal communities in tackling this challenge.",USDA Cross-Cutting Themes 2022-2026,USDA Strat Plan 2022-2026,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 1.4: Increase Carbon Sequestration, Reduce Greenhouse Gas Emissions, and Create Economic Opportunities (and Develop Low-Carbon Energy Solutions)","The Biden-Harris Administration has called for a whole-of-government approach to achieving net-zero greenhouse gas emissions by 2050, and USDA has a critical role to play to avoid the worst impacts of climate change. The Department will leverage its partnerships with agriculture, forestry, rural communities, Tribes, cooperatives, and businesses to reduce greenhouse gas emissions in agriculture, sequester forest carbon, decarbonize rural electricity, and invest in renewable fuels production and renewable electricity generation.",Percentage of Items in a Contract that are Certified During the Life of a Contract,"This is an annual measure. The Contract Implementation Rate (CIR) was adopted as a USDA KPI and is used in the NRCS Operations Scorecard / Performance Report. Contract Implementation Ratio (CIR) is a measure of how effect NRCS has been at “getting conservation on the ground”. In FY 22 more than 92% of all completed contracts have had all scheduled practices certified as completed. After including the 13% of contracts that were either cancelled or terminated, the final goal of 87 percent was still obtained.",USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 1.4: Increase Carbon Sequestration, Reduce Greenhouse Gas Emissions, and Create Economic Opportunities (and Develop Low-Carbon Energy Solutions)","The Biden-Harris Administration has called for a whole-of-government approach to achieving net-zero greenhouse gas emissions by 2050, and USDA has a critical role to play to avoid the worst impacts of climate change. The Department will leverage its partnerships with agriculture, forestry, rural communities, Tribes, cooperatives, and businesses to reduce greenhouse gas emissions in agriculture, sequester forest carbon, decarbonize rural electricity, and invest in renewable fuels production and renewable electricity generation.",Percentage of Timeliness of Practice Certifications or Timely Modification of Past Scheduled Practices to Reflect a New Future Schedule Date,NRCS plans to will review this target with leadership with our new methodologies now in place when looking at a new possible target for FY 2024. New Farm Bill requirements may pose risks to progress in FY 2024.,USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 1.4: Increase Carbon Sequestration, Reduce Greenhouse Gas Emissions, and Create Economic Opportunities (and Develop Low-Carbon Energy Solutions)","The Biden-Harris Administration has called for a whole-of-government approach to achieving net-zero greenhouse gas emissions by 2050, and USDA has a critical role to play to avoid the worst impacts of climate change. The Department will leverage its partnerships with agriculture, forestry, rural communities, Tribes, cooperatives, and businesses to reduce greenhouse gas emissions in agriculture, sequester forest carbon, decarbonize rural electricity, and invest in renewable fuels production and renewable electricity generation.",Percent Change in Scope 1 and Scope 2 Greenhouse Gas Emissions (Metric Tons of Carbon Dioxide Equivalent),"USDA plans to increase priority sustainability actions to achieving the 65 percent reduction in scope 1 and scope 2 GHG emissions goals by 2030 from 2008 levels as required by Executive Order (EO) 14057, Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability.  Implementation guidance is in final review by the White House Council on Environmental Quality (CEQ).  The CEQ and DOE will be coming out with specific guidance and working with agencies in setting GHG reduction targets to meet the EO goals.  The FY 2024 target will be updated once those targets are set.",USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 1.4: Increase Carbon Sequestration, Reduce Greenhouse Gas Emissions, and Create Economic Opportunities (and Develop Low-Carbon Energy Solutions)","The Biden-Harris Administration has called for a whole-of-government approach to achieving net-zero greenhouse gas emissions by 2050, and USDA has a critical role to play to avoid the worst impacts of climate change. The Department will leverage its partnerships with agriculture, forestry, rural communities, Tribes, cooperatives, and businesses to reduce greenhouse gas emissions in agriculture, sequester forest carbon, decarbonize rural electricity, and invest in renewable fuels production and renewable electricity generation.",Total Number of Departmental Fleet Vehicles,"The USDA cap of 36,514 has been changed due to the 2018 Congressional Mandate to stay at or below the 2018 fleet inventory levels. For USDA, that number is 39,108.",USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.2: Establish a Customer-Centric, Inclusive, High-Performing Workforce that is Representative of America and the Communities We Serve","The Department strives to make USDA a great place to work for everyone, with a focus on restoring the confidence and morale of the workforce following the COVID-19 pandemic. Through their mission delivery, engaged and empowered employees will find creative  solutions to unexpected challenges; they will bring innovation to their customer service delivery; they will display curiosity and collaboration across Agency and Mission Area lines; they will celebrate each other’s thoughts and experiences; and they will serve as ambassadors to recruit and retain a talented workforce that will ensure USDA’s continued future success and evolution. ",PMA LA Priority 1.1: Workforce,"What approaches to recruitment and hiring result in high-performing, diverse teams in Federal agencies? ",2022 PMA Learning Agenda,,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.performance.gov/pma/learning-agenda/,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.2: Establish a Customer-Centric, Inclusive, High-Performing Workforce that is Representative of America and the Communities We Serve","The Department strives to make USDA a great place to work for everyone, with a focus on restoring the confidence and morale of the workforce following the COVID-19 pandemic. Through their mission delivery, engaged and empowered employees will find creative  solutions to unexpected challenges; they will bring innovation to their customer service delivery; they will display curiosity and collaboration across Agency and Mission Area lines; they will celebrate each other’s thoughts and experiences; and they will serve as ambassadors to recruit and retain a talented workforce that will ensure USDA’s continued future success and evolution. ",PMA LA Priority 1.2: Workforce,"What strategies improve retention, engagement, inclusion, belonging, and wellbeing among Federal employees, while reducing burnout and attrition? ",2022 PMA Learning Agenda,,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.performance.gov/pma/learning-agenda/,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.2: Establish a Customer-Centric, Inclusive, High-Performing Workforce that is Representative of America and the Communities We Serve","The Department strives to make USDA a great place to work for everyone, with a focus on restoring the confidence and morale of the workforce following the COVID-19 pandemic. Through their mission delivery, engaged and empowered employees will find creative  solutions to unexpected challenges; they will bring innovation to their customer service delivery; they will display curiosity and collaboration across Agency and Mission Area lines; they will celebrate each other’s thoughts and experiences; and they will serve as ambassadors to recruit and retain a talented workforce that will ensure USDA’s continued future success and evolution. ",PMA LA Priority 1.3: Workforce,"What approaches build a strong, empowered, and diverse cohort across the Federal Government employee lifecycle?",2022 PMA Learning Agenda,,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.performance.gov/pma/learning-agenda/,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",USDA Cross-Cutting Theme: Creating More and Better Markets for Producers and Consumers at Home and Abroad,"The COVID-19 pandemic has revealed vulnerabilities in our food system. As we build back better, we must create new and better markets for all producers and consumers. The food system of the future needs to be fair, competitive, distributed, and resilient. The success of American agriculture hinges on research, innovation, and the development of new markets, both at home and abroad. This plan outlines our strategies to create new markets and improve existing ones.",USDA Cross-Cutting Themes 2022-2026,USDA Strat Plan 2022-2026,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.
",Number of Zoonotic and Agricultural Diseases Sampled in Wildlife,"In FY 2024, APHIS will develop methods and procedures to sample for new zoonotic or agriculturally significant diseases in wildlife. APHIS currently reports on 16 diseases in wildlife populations, including African swine fever, avian influenza, chronic wasting disease, rabies variants, and SARS-CoV-2. APHIS will add new sampling methods based on those diseases that pose the highest risk to agricultural health or human health, in the case of zoonotic diseases. Responses to large foreign animal disease outbreaks, such as the current response to HPAI and ASF require significant Agency resources and could continue to impact APHIS programs’ ability to carry out non-emergency related work.",USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 2.1: Protect Agricultural Health by Minimizing Major Diseases, Pests, and Wildlife Conflicts","The impacts of pests, diseases, and wildlife conflicts on agricultural production, commerce, and trade can be immense. USDA must balance keeping American agriculture safe while expanding access to new agricultural markets all across the globe. Domestically, USDA conducts emergency response activities that minimize threats and their impacts on agricultural industries, adapting to changes in agricultural risk by adjusting available resources to address these threats. Concurrently, the Department embarks on collaborative research to develop pest-resistant strains of crops and new animal-disease vaccines, expedites the approval of new treatments, and develops strategies to prevent and mitigate damage related to conflicts with wildlife.",Number of Priority Pests for Which Climate Sustainability Maps Have Been Completed,"APHIS plans to complete a total of 32 maps by the end of FY 2024 and will determine which pests to prioritize based on continuing analysis of the risks. APHIS will continue to work with state partners and other map users to improve the usefulness of the maps, including providing a user guide that illustrates how the maps can inform survey planning. APHIS customizes each pest model, and some models require more time than others due to data gaps and variability in pest biology. For example, plant pathogens have complex life cycles that are difficult to incorporate into climate suitability models; therefore, the Agency plans to develop a framework for addressing some of these challenges. Additionally, the maps include varying levels of uncertainty about pest establishment.  APHIS continues to evaluate how users interpret the maps and how to improve communication so that they can be accurately applied.",USDA FY24 Annual Performance Plan and FY22 Report,"GPRA, OMB A-11",https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/our-agency/about-usda/performance,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.2: Establish a Customer-Centric, Inclusive, High-Performing Workforce that is Representative of America and the Communities We Serve","The Department strives to make USDA a great place to work for everyone, with a focus on restoring the confidence and morale of the workforce following the COVID-19 pandemic. Through their mission delivery, engaged and empowered employees will find creative solutions to unexpected challenges; they will bring innovation to their customer service delivery; they will display curiosity and collaboration across Agency and Mission Area lines; they will celebrate each other’s thoughts and experiences; and they will serve as ambassadors to recruit and retain a talented workforce that will ensure USDA’s continued future success and evolution. ",PMA LA Priority 2.2: Service Delivery,What approaches deliver an excellent customer experience with the Federal Government?,2022 PMA Learning Agenda,,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.performance.gov/pma/learning-agenda/,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 6.2: Establish a Customer-Centric, Inclusive, High-Performing Workforce that is Representative of America and the Communities We Serve","The Department strives to make USDA a great place to work for everyone, with a focus on restoring the confidence and morale of the workforce following the COVID-19 pandemic. Through their mission delivery, engaged and empowered employees will find creative solutions to unexpected challenges; they will bring innovation to their customer service delivery; they will display curiosity and collaboration across Agency and Mission Area lines; they will celebrate each other’s thoughts and experiences; and they will serve as ambassadors to recruit and retain a talented workforce that will ensure USDA’s continued future success and evolution. ",PMA LA Priority 1: Workforce,"How can the Federal Government strengthen and empower its workforce, so it can best serve the American people? ",2022 PMA Learning Agenda,,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.performance.gov/pma/learning-agenda/,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,USDA 2022 6.3: Promote USDA Operational Excellence Through Better Use of Technology and Shared Solutions,"The Department strives to fully leverage modern human-centered design, data, technology, and digital services to provide our internal and external customers with easy-to-navigate online tools to increase access to our critical programs and services. Enterprise-wide shared technology and data services will help increase the Department’s capacity to make data-driven policy decisions, track progress, and support evidence-building within USDA’s research and statistical agencies, while also increasing data shared with external researchers. Increasing shared services and modernizing legacy IT systems will move the Department towards a future where customer-facing programs are seamlessly integrated with back-end IT that can be continually modified in response to changing customer needs.",PMA LA Priority 2.2: Service Delivery,What approaches deliver an excellent customer experience with the Federal Government?,2022 PMA Learning Agenda,,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.performance.gov/pma/learning-agenda/,USDA,EOP,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 2.2: Build Resilient Food Systems, Infrastructure, and Supply Chain","USDA works tirelessly to ensure that the food system is fair, resilient, competitive, and distributed. USDA will continue to employ innovation and develop new markets, both at home and abroad, to ensure that these goals are met. The Department supports efforts that bolster the economic growth of U.S. growers and producers, local and regional food systems, innovative production methodologies, and marketing strategies. In response to the increased demand for local and regional foods caused by the COVID-19 pandemic, USDA will prioritize investments that strengthen these markets and ensure food supply chain resilience for the future. Investing in local and regional food systems will further enhance the share of profits for those who grow, harvest, process, and prepare our food. Further, USDA will continue to advance opportunities in new markets abroad to better enable U.S. agriculture to access and sustain market growth.",USDA Cross-Cutting Theme: Creating More and Better Markets for Producers and Consumers at Home and Abroad,"The COVID-19 pandemic has revealed vulnerabilities in our food system. As we build back better, we must create new and better markets for all producers and consumers. The food system of the future needs to be fair, competitive, distributed, and resilient. The success of American agriculture hinges on research, innovation, and the development of new markets, both at home and abroad. This plan outlines our strategies to create new markets and improve existing ones. ",USDA Cross-Cutting Themes 2022-2026,USDA Strat Plan 2022-2026,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 2.2: Build Resilient Food Systems, Infrastructure, and Supply Chain","USDA works tirelessly to ensure that the food system is fair, resilient, competitive, and distributed. USDA will continue to employ innovation and develop new markets, both at home and abroad, to ensure that these goals are met. The Department supports efforts that bolster the economic growth of U.S. growers and producers, local and regional food systems, innovative production methodologies, and marketing strategies. In response to the increased demand for local and regional foods caused by the COVID-19 pandemic, USDA will prioritize investments that strengthen these markets and ensure food supply chain resilience for the future. Investing in local and regional food systems will further enhance the share of profits for those who grow, harvest, process, and prepare our food. Further, USDA will continue to advance opportunities in new markets abroad to better enable U.S. agriculture to access and sustain market growth.","USDA Equity 2: Reduce barriers to USDA programs and improve support to underserved farmers, ranchers, and landowners","USDA will take steps to reduce administrative, economical, historical, and other barriers to program access. ",USDA Equity Action Plan 2022,None,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/equity/action-plan,USDA,USDA,,,,,,,,,,,,,,,,,
USDA Strategic Plan 2022-2026,"USDA 2022 2.2: Build Resilient Food Systems, Infrastructure, and Supply Chain","USDA works tirelessly to ensure that the food system is fair, resilient, competitive, and distributed. USDA will continue to employ innovation and develop new markets, both at home and abroad, to ensure that these goals are met. The Department supports efforts that bolster the economic growth of U.S. growers and producers, local and regional food systems, innovative production methodologies, and marketing strategies. In response to the increased demand for local and regional foods caused by the COVID-19 pandemic, USDA will prioritize investments that strengthen these markets and ensure food supply chain resilience for the future. Investing in local and regional food systems will further enhance the share of profits for those who grow, harvest, process, and prepare our food. Further, USDA will continue to advance opportunities in new markets abroad to better enable U.S. agriculture to access and sustain market growth.",USDA Equity 4: Increase USDA infrastructure investments that benefit underserved communities,"USDA will make historic infrastructure investments and embed environmental justice as part of the mission. By directing programs to develop policies and activities that ensure USDA investments benefit underserved rural and tribal communities, this will also help strengthen their ability to withstand the disproportionate effects of climate change. ",USDA Equity Action Plan 2022,None,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,https://www.usda.gov/equity/action-plan,USDA,USDA,,,,,,,,,,,,,,,,,
